Feed,Feed_status,Spec_status,Content_Updated_At,Error
http://feeds.ricostruzionetrasparente.it/albi_pretori/Accumoli_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Acquasanta%20Terme_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopAgira,ATTIVO,"Non Rilevato","2019-05-20  -58 gg.",
https://script.google.com/macros/s/AKfycbyJ9bY6uFVX1pccFp-3B9-_B27DPpss4nQPmVRh/exec,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
http://opendata.matteofortini.it/rssAlboPOP/alboPOPAlghero.xml,ATTIVO,"Non Rilevato","2017-08-02  -713 gg.",
http://feeds.feedburner.com/AlboPopAltavillaMilicia,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPopAltopascio,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Amandola_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Amatrice_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPopComuneAndria,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Antrodoco_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/043002.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Appignano%20del%20Tronto_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
https://script.google.com/macros/s/AKfycbzdr9vAkwSGppYEFlypjjqogtL2Ryxg74ne_qWKlA/exec,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Arquata%20del%20Tronto_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/055005.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/044007.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/BagheriaAlboPretorio,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
https://script.google.com/macros/s/AKfycbzDyOP18Jwt0k6VSHskxHsFKdv9V47yYzQT8LWwgicwVeWGerE/exec,ATTIVO,"Non Rilevato","1970-01-01  -18094 gg.",
http://www.semplicepa.it/rssfeed/066008.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/Albopopbari,ATTIVO,"Non Rilevato","2019-07-16  -0 gg.",
http://feeds.feedburner.com/AlboPopBarletta,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/043004.xml,ATTIVO,"Non Rilevato","2019-05-30  -48 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Belmonte%20Piceno_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://dev.opendatasicilia.it/albopop/belpasso/albofeed.php,"NON ATTIVO","Non Rilevato",,"cURL error 7: Failed to connect to dev.opendatasicilia.it port 80: Connection timed out (see http://curl.haxx.se/libcurl/c/libcurl-errors.html)"
http://feeds.feedburner.com/AlboPopBitonto,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
https://servizi.comune.bologna.it/albosocial/rest/rssfeed,"NON ATTIVO","Non Rilevato",,"Server error: `GET https://servizi.comune.bologna.it/albosocial/rest/rssfeed` resulted in a `500 Internal Server Error` response:
<html><head><title>Apache Tomcat/7.0.12 - Error report</title><style><!--H1 {font-family:Tahoma,Arial,sans-serif;color:w (truncated...)
"
http://feeds.ricostruzionetrasparente.it/albi_pretori/Bolognola_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPretorioComuneDiBondeno,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Borbona_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopBordighera,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Borgo%20Velino_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feed43.com/albopopbotrugno.xml,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
http://feeds.feedburner.com/Albopopbrindisi,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/066013.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Caldarola_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Camerino_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/067008.xml,ATTIVO,"Non Rilevato","2019-05-30  -48 gg.",
http://www.comune.campobellodilicata.ag.it/rss-albopretorio,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
http://www.semplicepa.it/rssfeed/043008.xml,ATTIVO,"Non Rilevato","2019-05-30  -48 gg.",
http://www.semplicepa.it/rssfeed/066016.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
https://script.google.com/macros/s/AKfycbzVBjCoUwIldnHOfAUKii3u6HBTcZardoRre1T77w/exec,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
http://feeds.feedburner.com/AlbopopCapaci,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPopCapannori,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Capitignano_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboCapraricaDiLecce,ATTIVO,"Non Rilevato","2016-12-01  -958 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Cascia_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/067010.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Castel%20di%20Lama_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopCastelMaggiore,ATTIVO,"Non Rilevato","2019-07-12  -5 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Castel%20Sant%27Angelo_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/albopopcastelbuono,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Castelli_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Castelraimondo_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Castelsantangelo%20sul%20Nera_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Castignano_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Castorano_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://dev.opendatasicilia.it/albopop/catania/alboct2RSS.php,"NON ATTIVO","Non Rilevato",,"cURL error 7: Failed to connect to dev.opendatasicilia.it port 80: Connection timed out (see http://curl.haxx.se/libcurl/c/libcurl-errors.html)"
https://script.google.com/macros/s/AKfycbyf7RwvLv1XFl_s4u6eoirAyMhyt9l5h3dF5oi0Nm5dXzEPXc0Q/exec,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
https://script.google.com/macros/s/AKfycbw3LNg9c0HTRGqZSi7ovtifFUM5xsCDUSeoI_5su93A5HVwQEQQ/exec,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Cerreto%20D%27Esi_feed.xml,"NON ATTIVO","Non Rilevato",,"Client error: `GET http://feeds.ricostruzionetrasparente.it/albi_pretori/Cerreto%20D%27Esi_feed.xml` resulted in a `404 Not Found` response:
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>404 Not Found</title>
</head><body>
<h1>Not Found (truncated...)
"
http://feeds.ricostruzionetrasparente.it/albi_pretori/Cerreto%20di%20Spoleto_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/043011.xml,ATTIVO,"Non Rilevato","2019-05-30  -48 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Cingoli_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/057016.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Cittareale_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Civitella%20del%20Tronto_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/067018.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Colli%20del%20Tronto_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Colmurano_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Comunanza_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopDelComuneDiCori,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Corridonia_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Cortino_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Cossignano_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/Albopopcrispiano,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Crognaleto_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/043016.xml,ATTIVO,"Non Rilevato","2019-05-30  -48 gg.",
http://www.semplicepa.it/rssfeed/042017.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Falerone_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Fano%20Adriano_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/055012.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Fiastra_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Fiordimonte_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/albopopfirenze,ATTIVO,"Non Rilevato","2020-05-07  -294 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Fiuminata_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Folignano_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/054018.xml,ATTIVO,"Non Rilevato","2019-05-30  -48 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Force_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopFragagnano,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
https://albopop.it/comune/francavillafontana/feeds.feedburner.com/Newspopfrancavilla,"NON ATTIVO","Non Rilevato",,"Client error: `GET https://albopop.it/comune/francavillafontana/feeds.feedburner.com/Newspopfrancavilla` resulted in a `404 Not Found` response:
<!doctype html>
<html lang=""it"">
  <head>
    <meta charset=""utf-8"">
<meta http-equiv=""x-ua-compatible"" content=""ie=edge (truncated...)
"
http://feeds.feedburner.com/AlboPretorioGaglianoCastelferrato,ATTIVO,"Non Rilevato","2019-07-15  -2 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Gagliole_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/Comunedigalatinaalbo,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopDelComuneDiGinosa,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPopGiovinazzo,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://dev.opendatasicilia.it/albopop/gravinadicatania/albofeed.php,"NON ATTIVO","Non Rilevato",,"cURL error 7: Failed to connect to dev.opendatasicilia.it port 80: Connection timed out (see http://curl.haxx.se/libcurl/c/libcurl-errors.html)"
http://feeds.ricostruzionetrasparente.it/albi_pretori/Gualdo_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPopIrsina,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
http://www.semplicepa.it/rssfeed/067026.xml,ATTIVO,"Non Rilevato","2019-05-30  -48 gg.",
http://opendata.matteofortini.it/rssAlboPOP/alboPOPLatina.xml,ATTIVO,"Non Rilevato","2017-08-02  -713 gg.",
http://feeds.feedburner.com/Albopoplecce,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
http://feed43.com/7618163868126444.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/Albopoplizzanello,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopLizzanoTa,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Loro%20Piceno_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/043023.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Maltignano_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopManduria,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
https://feeds.feedburner.com/AlbopopManerbio,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Massa%20Fermana_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPOP-Massafra,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Matelica_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
